LearningStyle_Cluster,Performance_Cluster,Affective_Cluster,Age,AssignmentCompletion,Attendance,Discussions,EduTech,ExamScore,Extracurricular,FinalGrade,Gender,Internet,LearningPerformance_Cluster,LearningStyle,Motivation,OnlineCourses,Resources,StressLevel,StudyHours
3,3,1,28,96,83,0,1,75,1,1,1,0,3,2,2,11,1,2,22
3,3,1,28,96,83,0,1,75,1,1,1,1,3,2,2,11,1,2,22
2,3,1,28,96,83,0,1,75,1,1,1,1,3,2,1,11,0,2,22
0,2,1,19,90,90,1,0,52,0,3,0,1,2,1,1,0,1,2,16
0,2,1,19,90,90,1,0,52,0,3,0,0,2,1,2,0,1,2,16
0,2,1,19,90,90,1,0,52,1,3,0,1,2,1,1,0,2,2,16
0,2,1,19,90,90,1,0,52,0,3,0,1,2,1,1,0,1,2,16
0,2,1,19,90,90,1,0,52,1,3,0,1,2,1,2,0,2,2,16
1,1,0,22,50,66,0,1,73,0,1,1,1,1,1,0,3,2,1,18
1,0,0,27,57,66,0,1,60,0,2,1,1,0,2,0,11,2,0,18
1,1,2,22,50,66,0,1,73,0,1,1,1,1,1,1,3,1,1,18
2,0,2,27,57,66,0,1,60,0,2,1,1,0,2,1,11,1,0,18
1,1,2,22,50,66,0,1,73,0,1,1,1,1,1,1,3,2,1,18
1,0,2,27,57,66,0,1,60,0,2,1,1,0,2,1,11,2,0,18
1,1,2,22,50,66,0,1,73,1,1,1,1,1,1,1,3,2,1,18
1,0,2,27,57,66,0,1,60,1,2,1,1,0,2,1,11,2,0,18
0,1,0,22,50,66,0,1,73,1,1,1,0,1,1,0,3,1,1,18
3,0,0,27,57,66,0,1,60,1,2,1,0,0,2,0,11,1,0,18
1,1,2,22,50,66,0,1,73,1,1,1,0,1,1,1,3,2,1,18
1,0,2,27,57,66,0,1,60,1,2,1,0,0,2,1,11,2,0,18
0,1,2,22,50,66,0,1,73,1,1,1,1,1,1,2,3,1,1,18
3,0,0,27,57,66,0,1,60,1,2,1,1,0,2,2,11,1,0,18
0,1,2,22,50,66,0,1,73,1,1,1,1,1,1,1,3,1,1,18
3,0,2,27,57,66,0,1,60,1,2,1,1,0,2,1,11,1,0,18
3,0,2,27,52,83,1,0,66,0,2,0,1,0,1,1,12,1,1,16
1,2,2,26,96,83,0,1,56,0,2,0,1,2,1,1,0,1,0,16
3,0,2,27,52,83,1,0,66,1,2,0,1,0,1,0,12,2,1,16
1,2,0,26,96,83,0,1,56,1,2,0,1,2,1,0,0,2,0,16
3,0,2,27,52,83,1,0,66,1,2,0,1,0,1,1,12,1,1,16
0,2,2,26,96,83,0,1,56,1,2,0,1,2,1,1,0,1,0,16
3,0,2,27,52,83,1,0,66,1,2,0,1,0,1,1,12,1,1,16
0,2,2,26,96,83,0,1,56,1,2,0,1,2,1,1,0,1,0,16
3,0,2,27,52,83,1,0,66,1,2,0,1,0,1,2,12,1,1,16
0,2,2,26,96,83,0,1,56,1,2,0,1,2,1,2,0,1,0,16
3,0,2,27,52,83,1,0,66,1,2,0,1,0,1,1,12,1,1,16
0,2,2,26,96,83,0,1,56,1,2,0,1,2,1,1,0,1,0,16
3,0,2,27,52,83,1,0,66,1,2,0,1,0,1,0,12,1,1,16
0,2,0,26,96,83,0,1,56,1,2,0,1,2,1,0,0,1,0,16
3,0,2,27,52,83,1,0,66,0,2,0,1,0,1,0,12,1,1,16
1,2,0,26,96,83,0,1,56,0,2,0,1,2,1,0,0,1,0,16
1,1,0,28,52,70,0,1,71,1,1,1,1,1,2,1,1,2,2,31
0,3,2,21,87,69,1,1,79,1,1,1,1,3,3,1,3,1,0,20
0,3,0,18,82,69,0,0,97,1,0,1,1,3,3,1,9,1,2,20
0,3,2,21,87,69,1,1,79,1,1,1,1,3,3,1,3,2,0,20
1,3,0,18,82,69,0,0,97,1,0,1,1,3,3,1,9,2,2,20
1,3,0,21,87,69,1,1,79,0,1,1,1,3,3,0,3,2,0,20
1,3,0,18,82,69,0,0,97,0,0,1,1,3,3,0,9,2,2,20
0,3,0,21,87,69,1,1,79,1,1,1,1,3,3,2,3,1,0,20
0,3,0,18,82,69,0,0,97,1,0,1,1,3,3,2,9,1,2,20
1,2,0,18,88,60,0,1,52,0,3,0,1,2,0,1,6,1,2,14
1,2,0,18,88,60,0,1,52,1,3,0,1,2,0,0,6,0,2,14
0,0,2,25,62,65,1,0,51,0,3,0,1,0,3,1,0,1,1,25
3,2,2,28,100,65,1,1,55,0,2,0,1,2,3,1,12,1,0,25
0,0,2,25,62,65,1,0,51,1,3,0,1,0,3,2,0,2,1,25
3,2,0,28,100,65,1,1,55,1,2,0,1,2,3,2,12,2,0,25
0,0,2,25,62,65,1,0,51,1,3,0,1,0,3,1,0,0,1,25
3,2,2,28,100,65,1,1,55,1,2,0,1,2,3,1,12,0,0,25
0,0,2,25,62,65,1,0,51,1,3,0,1,0,3,1,0,1,1,25
3,2,2,28,100,65,1,1,55,1,2,0,1,2,3,1,12,1,0,25
0,0,2,25,62,65,1,0,51,1,3,0,1,0,3,1,0,0,1,25
3,2,2,28,100,65,1,1,55,1,2,0,1,2,3,1,12,0,0,25
0,0,0,25,62,65,1,0,51,1,3,0,0,0,3,0,0,2,1,25
3,2,0,28,100,65,1,1,55,1,2,0,0,2,3,0,12,2,0,25
0,0,0,20,54,65,1,1,54,1,3,0,1,0,3,0,1,0,0,21
0,3,0,24,96,65,1,0,78,1,1,0,1,3,1,0,2,0,2,21
0,0,0,20,54,65,1,1,54,1,3,0,0,0,3,0,1,2,0,21
0,3,0,24,96,65,1,0,78,1,1,0,0,3,1,0,2,2,2,21
0,3,1,28,99,99,1,0,97,0,0,0,1,3,2,0,9,1,1,8
0,2,1,23,89,99,1,1,54,0,3,0,1,2,1,0,4,1,1,8
0,1,1,20,59,99,1,0,91,0,0,0,1,1,3,0,6,1,0,8
0,3,1,28,99,99,1,0,97,1,0,0,1,3,2,1,9,2,1,8
0,2,1,23,89,99,1,1,54,1,3,0,1,2,1,1,4,2,1,8
0,1,1,20,59,99,1,0,91,1,0,0,1,1,3,1,6,2,0,8
3,1,2,28,58,72,1,0,100,1,0,0,1,1,1,1,15,1,1,12
3,0,0,26,51,72,1,1,42,1,3,0,1,0,2,1,20,1,2,12
0,1,2,29,61,72,0,1,73,1,1,0,1,1,1,1,5,1,1,12
3,1,2,28,58,72,1,0,100,1,0,0,1,1,1,2,15,0,1,12
3,0,0,26,51,72,1,1,42,1,3,0,1,0,2,2,20,0,2,12
0,1,2,29,61,72,0,1,73,1,1,0,1,1,1,2,5,0,1,12
3,1,2,28,58,72,1,0,100,0,0,0,1,1,1,2,15,1,1,12
3,0,0,26,51,72,1,1,42,0,3,0,1,0,2,2,20,1,2,12
1,1,2,29,61,72,0,1,73,0,1,0,1,1,1,2,5,1,1,12
3,1,2,28,58,72,1,0,100,1,0,0,1,1,1,2,15,0,1,12
3,0,0,26,51,72,1,1,42,1,3,0,1,0,2,2,20,0,2,12
0,1,2,29,61,72,0,1,73,1,1,0,1,1,1,2,5,0,1,12
3,1,0,28,58,72,1,0,100,0,0,0,1,1,1,0,15,1,1,12
3,0,0,26,51,72,1,1,42,0,3,0,1,0,2,0,20,1,2,12
1,1,0,29,61,72,0,1,73,0,1,0,1,1,1,0,5,1,1,12
0,3,0,21,93,65,0,1,95,1,0,1,1,3,0,0,0,1,1,21
0,3,2,21,93,65,0,1,95,1,0,1,0,3,0,2,0,0,1,21
1,3,2,21,93,65,0,1,95,0,0,1,1,3,0,2,0,1,1,21
1,3,0,21,93,65,0,1,95,0,0,1,1,3,0,0,0,2,1,21
0,3,2,21,93,65,0,1,95,1,0,1,1,3,0,1,0,1,1,21
1,3,2,21,93,65,0,1,95,0,0,1,1,3,0,1,0,1,1,21
1,3,2,21,93,65,0,1,95,1,0,1,1,3,0,2,0,2,1,21
1,3,2,21,93,65,0,1,95,0,0,1,1,3,0,1,0,2,1,21
3,2,0,29,78,68,1,1,61,0,2,1,1,2,2,0,13,1,1,24
3,2,2,29,78,68,1,1,61,0,2,1,1,2,2,1,13,1,1,24
3,2,2,29,78,68,1,1,61,1,2,1,1,2,2,2,13,1,1,24
3,2,0,29,78,68,1,1,61,1,2,1,1,2,2,0,13,1,1,24
3,2,0,29,78,68,1,1,61,1,2,1,1,2,2,0,13,2,1,24
3,2,2,29,78,68,1,1,61,1,2,1,1,2,2,1,13,1,1,24
3,2,2,29,78,68,1,1,61,1,2,1,0,2,2,1,13,1,1,24
3,2,0,29,78,68,1,1,61,1,2,1,1,2,2,0,13,0,1,24
3,2,0,23,79,84,0,1,56,1,2,0,1,2,0,0,11,1,2,21
2,2,0,23,79,84,0,1,56,0,2,0,1,2,0,0,11,0,2,21
2,2,1,23,79,84,0,1,56,0,2,0,1,2,0,1,11,1,2,21
