Topic,Count,Name,Representation,Representative_Docs
9,98,9_sentiment_sentiment analysis_analysis_discourse,"['sentiment', 'sentiment analysis', 'analysis', 'discourse', 'twitter', 'lexicons', 'opinion', 'bing', 'rhetorical', 'jurafsky']","['Sentiment Analysis and Opinion Mining. Bing Liu. ', 'Sentiment Analysis and Opinion Mining. Bing Liu. ', 'Sentiment Analysis and Subjectivity. Bing Liu. ']"
10,85,10_topic_citation_index_topic models,"['topic', 'citation', 'index', 'topic models', 'scientific', 'lda', 'models', 'impact', 'research', 'modeling']","['Topic Models. David Blei. ', 'Topic Models. David Blei. ', 'Python Topic Model. Arongdari. ']"
11,74,11_extraction_knowledge_relation_entity,"['extraction', 'knowledge', 'relation', 'entity', 'relation extraction', 'information extraction', 'knowledge graph', 'entity recognition', 'information', 'extraction using']","['Multilingual open relation extraction using cross-lingual projection. Manaal Faruqui, Shankar Kumar. ', 'Multilingual Open Relation Extraction Using Cross-lingual Projection. Manaal Faruqui, Shankar Kumar. ', 'Knowledge Graph Construction from Text: Information Extraction. Jay Pujara , Sameer Singh , Bhavana Dalvi. ']"
12,39,12_regression_logistic regression_logistic_linear regression,"['regression', 'logistic regression', 'logistic', 'linear regression', 'linear', 'rohan', 'triangleinequality', 'math', 'python', 'math madhu']","['Logistic Regression?—?Detailed Overview. Saishruthi Swaminathan', 'Linear Regression. Bfortuner. ', 'Logistic Regression. Bfortuner. ']"
13,32,13_data_data science_science_command line,"['data', 'data science', 'science', 'command line', 'command', 'science command', 'line', 'janssens', 'sciences', 'foundations']","['Introduction to Data Science. Jeffrey Stanton. ', 'R Data Science Tutorials. Ujjwalkarn. ', 'Data Science Blogs. Data Incubator. ']"
14,24,14_principal_component_component analysis_principal component,"['principal', 'component', 'component analysis', 'principal component', 'pca', 'analysis', 'reduction', 'dimensionality reduction', 'dimensionality', 'ng']","['Principal Component Analysis: Variable Reduction Technique. Anuja Nagpal', 'Implementing a Principal Component Analysis (PCA). Sebastian Raschka', 'Principal Component Analysis. Alaa Tharwat']"
15,22,15_transfer learning_transfer_adaptation_domain,"['transfer learning', 'transfer', 'adaptation', 'domain', 'qiang', 'learning', 'learning niklas', 'yang', 'niklas donges', 'niklas']","['A Survey on Transfer Learning. Sinno Jialin Pan, Qiang Yang', 'An Overview of Transfer Learning. Qiang Yang', 'An Introduction to Transfer Learning and Domain Adaptation. Amaury Habrard. ']"
16,21,16_capsules_routing_hinton_networks,"['capsules', 'routing', 'hinton', 'networks', 'max', 'dynamic', 'intuition', 'understanding', 'inverse graphics', 'nick bourdakos']","['Dynamic Routing between Capsules. Sara Sabour, Nickolas Frosst, Geoffrey E. Hinton', ""Pytorch implementation of Hinton's Dynamic Routing Between Capsules. Tim Omernick"", ""Understanding Hinton's Capsule Networks. Part III: Dynamic Routing Between Capsules. Max Pechyonkin""]"
17,19,17_driving_self_2017_cars,"['driving', 'self', '2017', 'cars', 'david clark', 'lane', 'clark', 'end', 'lines', 'david']","['Self-driving cars in the browser. 2017. ', 'Advanced Lane-Detection for Self-Driving Cars. David Clark. ', 'Vehicle Detection Using Cameras for Self-Driving Cars. 2017. ']"
18,18,18_web_python_python using_using,"['web', 'python', 'python using', 'using', 'news', 'examples', 'smedt', 'posts', 'practical introduction', 'dataset michael']","['How to Write a Web Crawler in Python (with examples!). Keita Kurita', ""Beginner's guide to Web Scraping in Python (using BeautifulSoup). Sunil Ray. "", 'Web Scraping in Python using Scrapy (with multiple examples). Mohd Sanad Zaki Rizvi']"
