Topic,Count,Name,Representation,Representative_Docs
13,79,13_embeddings_word embeddings_word_embedding,"['embeddings', 'word embeddings', 'word', 'embedding', 'embeddings word', 'word embedding', 'cross lingual', 'cross', 'lingual', 'learning word']","['Word Embeddings. ', 'Compressing Word Embeddings. ', 'on word embeddings - Part 1. ']"
14,78,14_intelligence_ai_artificial intelligence_artificial,"['intelligence', 'ai', 'artificial intelligence', 'artificial', 'facebook', 'learning ai', 'ai research', 'math', 'future', 'research']","['Using Artificial Intelligence to Augment Human Intelligence', 'The Dawn of Artificial Intelligence. ', 'What is Artificial Intelligence? Part 1']"
15,77,15_sentiment_sentiment analysis_analysis_twitter,"['sentiment', 'sentiment analysis', 'analysis', 'twitter', 'lexicons', 'analysis sentiment', 'opinion', 'sentiment lexicons', 'domain specific', 'social media']","['Sentiment Analysis. ', 'Sentiment Analysis. ', 'Sentiment Analysis and Subjectivity. ']"
16,71,16_semantic parsing_parsing_semantic_ccg,"['semantic parsing', 'parsing', 'semantic', 'ccg', 'parser', 'categorial', 'combinatory', 'combinatory categorial', 'grammars', 'unified']","['Unsupervised Semantic Parsing. ', 'Semantics for Semantic Parsing. ', 'Sentence Rewriting for Semantic Parsing. ']"
17,69,17_fitting_fasttext_challenge_allennlp,"['fitting', 'fasttext', 'challenge', 'allennlp', 'bokeh', 'drugs', 'degrees', 'country', 'apprentissage', 'codalab']","['Hands-on QuEst++. ', 'VQA Challenge 2017. ', 'Where Will Your Country Stand in World War III?. ']"
18,68,18_algebra_linear algebra_linear_matrix,"['algebra', 'linear algebra', 'linear', 'matrix', 'algebra linear', 'learning gentle', 'matrices', 'gentle introduction', 'gentle', 'learning linear']","['Linear Algebra. ', 'Linear Algebra. ', 'Immersive Linear Algebra']"
19,67,19_generative adversarial_gans_adversarial_generative,"['generative adversarial', 'gans', 'adversarial', 'generative', 'gan', 'adversarial nets', 'networks', 'image image', 'image translation', 'image']","['Generative Adversarial Networks (GANs). ', 'gans: Generative Adversarial Networks', 'Generative Adversarial Networks (GANs). ']"
20,61,20_clustering_spectral_nearest_nearest neighbors,"['clustering', 'spectral', 'nearest', 'nearest neighbors', 'neighbors', 'cluster', 'clustering using', 'brown', 'python scratch', 'locally']","['K-Means Clustering with TensorFlow. ', 'Clustering With K-Means in Python. ', 'A Tutorial on Spectral Clustering']"
21,54,21_probability_statistics_conditional_conditional random,"['probability', 'statistics', 'conditional', 'conditional random', 'random fields', 'random', 'fields', 'theory', 'probabilistic', 'statistical']","['Probability Theory. ', 'Introduction to Probability. ', 'Probability']"
22,52,22_learning nlp_learning natural_language processing_nlp,"['learning nlp', 'learning natural', 'language processing', 'nlp', 'processing', 'processing deep', 'natural language', 'deep learning', 'natural', 'deep']","['Deep Learning for Natural Language Processing. ', 'Deep Learning for Natural Language Processing. ', 'Deep Learning for Natural Language Processing']"
23,52,23_python_python python_introduction python_py,"['python', 'python python', 'introduction python', 'py', 'humanities', 'python programming', 'python numpy', 'snap', 'learn python', 'programming']","['python-zpar. ', 'Python Pointers. ', 'Ucto for Python. ']"
24,52,24_recurrent_recurrent neural_networks recurrent_recurrent networks,"['recurrent', 'recurrent neural', 'networks recurrent', 'recurrent networks', 'neural networks', 'networks', 'dropout', 'neural', 'networks learning', 'networks tutorial']","['Segmental Recurrent Neural Networks. ', 'Recurrent Neural Networks', 'Recurrent Neural Networks']"
25,49,25_citation_index_scientific_impact,"['citation', 'index', 'scientific', 'impact', 'measuring', 'research', 'publications', 'citation analysis', 'coauthorship', 'citation networks']","['The e-Index, Complementing the h-Index for Excess Citations. ', 'Unsupervised prediction of citation influences. ', 'The h’-Index, Effectively Improving the h-Index Based on the Citation Distribution. ']"
26,49,26_dependency_dependency parsing_parsing_dependencies,"['dependency', 'dependency parsing', 'parsing', 'dependencies', 'universal dependencies', 'tutorial universal', 'based dependency', 'dependency parser', 'transition based', 'transition']","['Dependency Parsing. ', 'Dependency Parsing. ', 'Dependency Parsing. ']"
27,47,27_word2vec_gram_skip_parameter,"['word2vec', 'gram', 'skip', 'parameter', 'learning explained', 'google', 'gensim word2vec', 'explained', 'model', 'implementation']","['Word2Vec. ', 'Word2Vec (Part 1). ', 'Word2Vec']"
28,47,28_python data_data_python_data science,"['python data', 'data', 'python', 'data science', 'science', 'data analysis', 'learn', 'scientific python', 'numpy', 'analysis']","['Comprehensive Guide to Learning Python for Data Analysis and Data Science. ', 'Pandas: Python Data Analysis Library. ', 'The Guide to Learning Python for Data Science. ']"
29,44,29_scikit learn_scikit_learn_learning python,"['scikit learn', 'scikit', 'learn', 'learning python', 'python machine', 'machine learning', 'python', 'machine', 'python scikit', 'learn introduction']","['Introduction to Machine Learning in Python with scikit-learn. ', 'SciKit-Learn Laboratory. ', 'Machine learning in Python with scikit-learn. ']"
30,43,30_bayesian_bayes_inference_probabilistic,"['bayesian', 'bayes', 'inference', 'probabilistic', 'variational inference', 'variational', 'graphical models', 'graphical', 'introduction bayesian', 'bayes theorem']","['Bayesian Networks: Independencies and Inference. ', 'BayesPy - Bayesian Python. ', 'Bayesian Hypernetworks. ']"
31,42,31_markov_sampling_chain_mcmc,"['markov', 'sampling', 'chain', 'mcmc', 'hidden markov', 'chains', 'markov models', 'hidden', 'decision process', 'approximations']","['Introduction to Hidden Markov Models. ', 'Markov Chain Monte Carlo in Python', 'Markov Chain Monte Carlo (MCMC). ']"
32,41,32_nltk_nlp_dive nltk_stanford,"['nltk', 'nlp', 'dive nltk', 'stanford', 'dive', 'interface', 'tools', 'stuff', 'started nlp', 'tagger']","['Dive Into NLTK, Part V: Using Stanford Text Analysis Tools in Python. ', 'Dive Into NLTK, Part I: Getting Started with NLTK. ', 'Dive Into NLTK, Part VI: Add Stanford Word Segmenter Interface for Python NLTK. ']"
33,39,33_regression_logistic_logistic regression_linear regression,"['regression', 'logistic', 'logistic regression', 'linear regression', 'linear', 'math', 'primer', 'rohan', 'brief', 'example']","['Logistic Regression', 'Logistic Regression . ', 'Logistic Regression. ']"
34,38,34_speech_speech recognition_recognition_synthesis,"['speech', 'speech recognition', 'recognition', 'synthesis', 'end', 'voice', 'end end', 'text speech', 'wavenet', 'recognition deep']","['Deep Learning for Speech Recognition. ', 'Speech Recognition. ', 'Speech Recognition Is Not Solved. ']"
35,37,35_image_captioning_caption_captions,"['image', 'captioning', 'caption', 'captions', 'descriptions', 'attend tell', 'image captioning', 'neural image', 'tell', 'generating']","['Source code for Show, Attend and Tell: Neural Image Caption Generation with Visual Attention runnable on GPU and CPU.. ', 'Show, Attend and Tell: Neural Image Caption Generation with Visual Attention. ', 'Show, attend and tell: Neural image caption generation with visual attention. ']"
36,37,36_vectors_word vectors_word_word vector,"['vectors', 'word vectors', 'word', 'word vector', 'vector', 'representations', 'word representations', 'global', 'word representation', 'glove']","['A word is worth a thousand vectors', 'A Word is Worth a Thousand Vectors. ', 'Word Vectors. ']"
37,36,37_support vector_support_vector machines_vector,"['support vector', 'support', 'vector machines', 'vector', 'machines', 'svm', 'classifiers', 'learning linear', 'svms', 'kernel']","['Learning: Support Vector Machines. ', 'Learning with Support Vector Machines. ', 'Support Vector Machines for Machine Learning. ']"
38,36,38_topic_topic models_lda_models,"['topic', 'topic models', 'lda', 'models', 'latent', 'lda2vec', 'modeling', 'gensim', 'author', 'modelling']","['Python Topic Model. ', 'Topic Models. ', 'Topic Models. ']"
39,34,39_semi supervised_supervised learning_supervised_semi,"['semi supervised', 'supervised learning', 'supervised', 'semi', 'graph', 'convolutional networks', 'scalable', 'based semi', 'representation learning', 'learning graph']","['Semi-supervised Learning Tutorial. ', 'Inductive Semi-supervised Learning with Applicability to NLP. ', 'Introduction to Semi-Supervised Learning. ']"
40,33,40_pytorch_pytorch tutorial_learning pytorch_practical pytorch,"['pytorch', 'pytorch tutorial', 'learning pytorch', 'practical pytorch', 'pretrained', 'convnets', 'minutes', 'tutorials', 'agent', 'tutorial deep']","['pyTorch Tutorials. ', 'What is PyTorch?. ', 'PyTorch. ']"
41,33,41_memory_long_term memory_short term,"['memory', 'long', 'term memory', 'short term', 'long short', 'term', 'memory networks', 'short', 'tree structured', 'networks long']","['Long Short-Term Memory. ', 'Long short-term memory. ', 'Top-down Tree Long Short-Term Memory Networks. ']"
42,32,42_language processing_processing_natural language_natural,"['language processing', 'processing', 'natural language', 'natural', 'language', 'processing natural', 'nlp computational', 'social science', 'computational social', 'social']","['The Definitive Guide to Natural Language Processing. ', 'Natural Language Processing. ', 'Chapter 9 : Natural Language Processing.']"
43,32,43_ipython_notebooks_exercises_jupyter,"['ipython', 'notebooks', 'exercises', 'jupyter', 'notebook', 'python machine', 'jupyter notebooks', 'jupyter notebook', 'gallery', 'python']","['Data Science Ipython Notebooks. ', 'PythonDataScienceHandbook iPython Notebooks. ', 'ipython-notebooks. ']"
44,32,44_data science_science_data_command line,"['data science', 'science', 'data', 'command line', 'command', 'science command', 'line', 'foundations', 'intro data', 'guide data']","['Data 8: The Foundations of Data Science. ', 'Introduction to Data Science. ', 'Data Science Blogs. ']"
45,31,45_sentiment140_unknown_success_response,"['sentiment140', 'unknown', 'success', 'response', 'style', 'selection', 'case', 'novels', 'babelnet', 'stand']","['Pointing the Unknown Words. ', 'Pointing the Unknown Words. ', 'Success with Style: Using Writing Style to Predict the Success of Novels.. ']"
46,30,46_entity_information extraction_extraction_entity recognition,"['entity', 'information extraction', 'extraction', 'entity recognition', 'named entity', 'named', 'information', 'recognition', 'open information', 'using deep']","['Named Entity Extraction. ', 'Named Entity Recognition and Classification. ', 'Named Entity Recognition. ']"
47,30,47_answering_question_question answering_answering dataset,"['answering', 'question', 'question answering', 'answering dataset', 'open domain', 'open', 'semi structured', 'language question', 'engine', 'dataset']","['Question Answering Corpus. ', 'Question Answering. ', 'Textbook Question Answering. ']"
48,30,48_datasets_dataset_images_public,"['datasets', 'dataset', 'images', 'public', 'public datasets', 'open', 'qa', 'introducing', 'geoquery', 'dataset unsupervised']","['twentybn datasets. ', 'Datasets. ', 'Cristian Danescu-Niculescu-Mizil Datasets. ']"
49,29,49_summarization_abstractive_attention model_summarization neural,"['summarization', 'abstractive', 'attention model', 'summarization neural', 'abstractive summarization', 'neural attention', 'attention', 'source code', 'model', 'ai deep']","['A Neural Attention Model for Abstractive Sentence Summarization. ', 'A Neural Attention Model for Abstractive Sentence Summarization. ', 'A Neural Attention Model for Abstractive Sentence Summarization. ']"
50,29,50_sense_disambiguation_word sense_word,"['sense', 'disambiguation', 'word sense', 'word', 'multilingual', 'embeddings', 'multilingual word', 'representations word', 'entity linking', 'linking']","['Word Sense Disambiguation: A Survey. ', 'Introduction to Word Sense Disambiguation. ', 'Word Sense Disambiguation. ']"
51,28,51_autoencoders_variational_autoencoder_explanation variational,"['autoencoders', 'variational', 'autoencoder', 'explanation variational', 'autoencoder deep', 'learning autoencoders', 'vaes', 'intuitive explanation', 'applied deep', 'tf']","['PixelGAN Autoencoders. ', 'Part 3 - Autoencoders. ', 'Tutorial on Variational Autoencoders. ']"
52,28,52_information retrieval_retrieval_information_networks information,"['information retrieval', 'retrieval', 'information', 'networks information', 'query', 'query expansion', 'expansion', 'statistical language', 'trained word', 'locally']","['Neural Networks for Information Retrieval. ', 'Neural Networks for Information Retrieval: Preliminaries. ', 'Information Retrieval Evaluation. ']"
53,28,53_sequence_sequence sequence_sequence learning_sequence modeling,"['sequence', 'sequence sequence', 'sequence learning', 'sequence modeling', 'sequence models', 'sequence model', 'sequence modelling', 'models sequence', 'beam', 'essentials deep']","['Sequence to Sequence Learning with Keras. ', 'Sequence to Sequence Learning with Neural Networks. ', 'Convolutional Sequence to Sequence Learning. ']"
54,27,54_statistical machine_statistical_translation_machine translation,"['statistical machine', 'statistical', 'translation', 'machine translation', 'syntax', 'alignment', 'quality', 'syntax based', 'machine', 'translation quality']","['Clause Restructuring for Statistical Machine Translation. ', 'Statistical Machine Translation', 'Statistical Machine Translation. ']"
55,26,55_nlp_models natural_practical neural_nlp neural,"['nlp', 'models natural', 'practical neural', 'nlp neural', 'natural language', 'natural', 'networks natural', 'language processing', 'primer', 'network models']","['A Primer on Neural Network Models for Natural Language Processing. ', 'A Primer on Neural Network Models for Natural Language Processing. ', 'A Primer on Neural Network Models for Natural Language Processing']"
56,25,56_paraphrase_simplification_identification_sentence embeddings,"['paraphrase', 'simplification', 'identification', 'sentence embeddings', 'database', 'automatic text', 'ppdb', 'learning open', 'automatic', 'sentence']","['Simple PPDB: A Paraphrase Database for Simplification. ', 'From Paraphrase Database to Compositional Paraphrase Model and Back. ', 'From Paraphrase Database to Compositional Paraphrase Model and Back. ']"
57,24,57_principal_component_principal component_component analysis,"['principal', 'component', 'principal component', 'component analysis', 'pca', 'reduction', 'dimensionality reduction', 'dimensionality', 'analysis', 'cs229 lecture']","['Principal Component Analysis', 'Principal Component Analysis', 'Implementing a Principal Component Analysis (PCA)']"
58,23,58_question_question answering_answering_answer,"['question', 'question answering', 'answering', 'answer', 'answering neural', 'question answer', 'learning compose', 'questions recurrent', 'compose', 'questions']","['A Neural Network for Factoid Question Answering over Paragraphs. ', 'Dynamic Coattention Networks For Question Answering. ', 'Generative Question Answering']"
59,23,59_cs231n_assignment_cs231n notes_acl,"['cs231n', 'assignment', 'cs231n notes', 'acl', 'project', 'notes', 'software', 'demo', 'cs224u', 'acl 2017']","['cs231n Assignment 1. ', 'CS231n: Assignment 3. ', 'cs231n Assignment 3. ']"
60,23,60_social_social networks_geographic_social network,"['social', 'social networks', 'geographic', 'social network', 'contagion', 'people', 'evolving', 'inferring', 'dynamic', 'human']","['Dynamic social networks promote cooperation in experiments with humans. ', 'Cooperative behavior cascades in human social networks. ', 'Geographic routing in social networks. ']"
61,23,61_knowledge_knowledge graph_knowledge base_base,"['knowledge', 'knowledge graph', 'knowledge base', 'base', 'construction', 'graph', 'graphs', 'population', 'embedding', 'space']","['Cyc Knowledge Base Visualization Demo. ', 'Knowledge Graph Construction from Text: Information Extraction. ', 'Knowledge Graph Construction from Text. ']"
62,22,62_transfer learning_transfer_adaptation_domain,"['transfer learning', 'transfer', 'adaptation', 'domain', 'learning transfer', 'processing introduction', 'survey', 'machine learnings', 'frontier', 'leverage']","['Transfer Learning. ', 'Transfer Learning', 'An Introduction to Transfer Learning and Domain Adaptation. ']"
63,21,63_relation extraction_relation_extraction_extraction using,"['relation extraction', 'relation', 'extraction', 'extraction using', 'multilingual', 'factorization', 'tree structures', 'relations', 'using lstms', 'learning approach']","['Multilingual Relation Extraction using Compositional Universal Schema. ', 'Relation Extraction Corpus. ', 'Relation Extraction Corpus. ']"
64,21,64_comprehension_reading comprehension_reading_machine comprehension,"['comprehension', 'reading comprehension', 'reading', 'machine comprehension', 'mail', 'comprehension task', 'squad', 'questions', 'learning reading', 'dataset']","['A Thorough Examination of the CNN/Daily Mail Reading Comprehension Task. ', 'A thorough examination of the cnn/daily mail reading comprehension task. ', 'Embracing data abundance: BookTest Dataset for Reading Comprehension. ']"
65,21,65_capsules_hinton_routing_intuition,"['capsules', 'hinton', 'routing', 'intuition', 'dynamic', 'inverse graphics', 'graphics', 'capsnet', 'pytorch implementation', 'inverse']","['Dynamic Routing between Capsules', ""Understanding Hinton's Capsule Networks. Part III: Dynamic Routing Between Capsules"", ""Pytorch implementation of Hinton's Dynamic Routing Between Capsules""]"
66,21,66_discourse_discussions_rhetorical_rhetorical structure,"['discourse', 'discussions', 'rhetorical', 'rhetorical structure', 'discourse parsing', 'conversational', 'structure', 'theory', 'flow', 'oxford']","['Discourse Processing A Tutorial. ', 'Discourse Annotation: Discourse Connectives and Discourse Relations. ', 'Fast Rhetorical Structure Theory Discourse Parsing. ']"
67,20,67_graph_massive_mining massive_based machine,"['graph', 'massive', 'mining massive', 'based machine', 'algorithms', 'graphs', 'mining', 'graph based', 'mining large', 'graph search']","['Graph-based machine learning: Part 2. ', 'Mining of Massive Datasets. ', 'Mining of Massive Datasets. ']"
68,20,68_seq2seq_day_lab_guide,"['seq2seq', 'day', 'lab', 'guide', 'seq2seq tutorial', 'recitation', 'experiment', 'segeval', 'tutorial', 'mathematical']","['Seq2Seq ICML Tutorial. ', 'seq2seq. ', 'seq2seq']"
69,20,69_deeplearning ai_deeplearning_deepl_demos deep,"['deeplearning ai', 'deeplearning', 'deepl', 'demos deep', 'playlist', 'learning libraries', 'genius', 'bootcamp', 'deep rl', 'convnet']","['5 Genius Python Deep Learning Libraries. ', 'Deeplearning.ai. ', 'Deeplearning.ai. ']"
70,20,70_nlp_nlp libraries_spark_production,"['nlp', 'nlp libraries', 'spark', 'production', 'spacy', 'comparing', 'libraries', 'nlp 2017', 'started nlp', 'pipelines']","['Comparing production-grade NLP libraries: Accuracy, performance, and scalability', 'Comparing production-grade NLP libraries: Running Spark-NLP and spaCy pipelines', 'Comparing production-grade NLP libraries: Training Spark-NLP and spaCy pipelines']"
71,20,71_perceptron_multi layer_layer_perceptrons,"['perceptron', 'multi layer', 'layer', 'perceptrons', 'scratch', 'crash', 'crash course', 'learning scratch', 'multi', 'course']","['The Perceptron. ', 'Perceptron. ', 'Enter the Perceptron. ']"
72,20,72_lstm_lstms_exploring_understanding lstm,"['lstm', 'lstms', 'exploring', 'understanding lstm', 'implementation', 'understanding', 'explained', 'lstm numpy', 'human activity', 'diagrams']","['LSTM implementation explained. ', 'LSTM implementation explained. ', 'EUREKA for LSTM']"
73,19,73_generative models_generative_models generative_models,"['generative models', 'generative', 'models generative', 'models', 'deep generative', 've', 'learning hierarchical', 'hierarchical', 'models learning', 'algorithms tutorial']","['Generative Models I. ', 'Generative Models. ', 'Generative Models. ']"
74,19,74_dataset_sentence_relation_airline sentiment,"['dataset', 'sentence', 'relation', 'airline sentiment', 'agreement', 'airline', 'figureqa', 'sentence pairs', 'dataset news', 'clueweb12']","['Colors in 9 Languages Dataset. ', 'Semantic Relation Dataset. ', 'Is A Dataset. ']"
75,19,75_driving_self_cars_lines,"['driving', 'self', 'cars', 'lines', 'end', 'detection', 'end end', 'end learning', 'drive', 'behavioral']","['Advanced Lane-Detection for Self-Driving Cars. ', 'Vehicle Detection Using Cameras for Self-Driving Cars. ', 'MIT 6.S094: Deep Learning for Self-Driving Cars. ']"
76,19,76_similarity_similarity search_measures_semantic similarity,"['similarity', 'similarity search', 'measures', 'semantic similarity', 'scale evaluation', 'text similarity', 'walk', 'search', 'semantic', 'set']","['Faiss: A library for efficient similarity search. ', 'The TakeLab Semantic Text Similarity System. ', 'Word and text similarity measures. ']"
77,19,77_graph mining_large graph_practitioner_practitioner guide,"['graph mining', 'large graph', 'practitioner', 'practitioner guide', 'power tools', 'mining power', 'tools practitioner', 'power', 'graph', 'mining']","['Large Graph Mining: Power Tools and a Practitioner’s guide; Intro. ', 'Large Graph Mining: Power Tools and a Practitioner’s guide; Theory. ', ""Large Graph-Mining: Power Tools and a Practitioner's Guide. ""]"
78,18,78_web_python using_python_news,"['web', 'python using', 'python', 'news', 'examples', 'posts', 'dataset news', 'practical introduction', 'write', 'python programming']","[""Beginner's guide to Web Scraping in Python (using BeautifulSoup). "", 'Web Scraping in Python using Scrapy (with multiple examples)', 'Web Crawling. ']"
79,18,79_community_community detection_detection_communities,"['community', 'community detection', 'detection', 'communities', 'large', 'scale', 'complex networks', 'networks large', 'community structure', 'complex']","['Phase Transitions in Spectral Community Detection of Large Noisy Networks. ', 'Implementation of Louvain Community Detection in Python. ', 'Community Detection in Networks. ']"
80,17,80_story_movie_stories_captions,"['story', 'movie', 'stories', 'captions', 'narrative', 'sort', 'sorting', 'images captions', 'books', 'description']","['The Long-Short Story of Movie Description. ', 'Sort story: Sorting jumbled images and captions into stories. ', 'Sort Story: Sorting Jumbled Images and Captions into Stories. ']"
81,16,81_mxnet_gluon_10_cifar,"['mxnet', 'gluon', '10', 'cifar', 'cifar 10', 'training', 'presentation', '10 deep', 'learning projects', 'apache']","['MXNet. ', 'An Introduction to MXNet/Gluon. ', 'An Introduction to MXNet/Gluon. ']"
82,16,82_adversarial_adversarial examples_adversarial autoencoders_examples,"['adversarial', 'adversarial examples', 'adversarial autoencoders', 'examples', 'wizard', 'guide adversarial', 'wizard guide', 'autoencoders', 'guide', 'step']","['Adversarial Examples. ', ""A wizard's guide to Adversarial Autoencoders: Part 2, Exploring latent space with Adversarial Autoencoders.. "", 'Adversarial Examples and Adversarial Training. ']"
83,16,83_music_audio_scale dataset_events,"['music', 'audio', 'scale dataset', 'events', 'annotated', 'networks deep', 'generating', 'composing', 'manually', 'lyrics']","['AudioSet: A large-scale dataset of manually annotated audio events. ', 'AudioSet: A large-scale dataset of maually annotated audio events', 'Learn Audio Beat Tracking for Music Information Retrieval (with Python codes)']"
84,16,84_convolutional_convolutional neural_sentence_sentences,"['convolutional', 'convolutional neural', 'sentence', 'sentences', 'classification', 'documents', 'convolutional networks', 'modelling', 'modeling', 'based convolutional']","['Convolutional Neural Networks for Sentence Classification. ', 'Convolutional neural networks for sentence classification. ', 'Convolutional Neural Networks for Sentence Classification. ']"
85,15,85_meaning_semantics_space models_vector space,"['meaning', 'semantics', 'space models', 'vector space', 'space', 'lexical', 'models meaning', 'frequency', 'lexical semantics', 'distributional']","['Vector Space Models of Lexical Meaning. ', 'From Frequency to Meaning: Vector Space Models of Semantics. ', 'From Frequency to Meaning: Vector Space Models of Semantics. ']"
86,15,86_rnn_implementing rnn_rnns_lstm,"['rnn', 'implementing rnn', 'rnns', 'lstm', 'visual analysis', 'guide implementing', 'rnn python', 'rnn lstm', 'implementing', 'using tensorflow']","['RNNetwork Tutorial: Part 2 - Implementing a RNN in Python and Theano. ', ""A noob's guide to implementing RNN-LSTM using Tensorflow. "", 'A noob’s guide to implementing RNN-LSTM using Tensorflow. ']"
